"","Grouping","Sample Code","Culture Variable","Pre-acidification","Make Date","Milk Protein","Milk Fat","Milk P:F","Milk Acidity","Culture inoc rate","Response","value"
"1","Process Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Coagulation pH","6.67"
"2","Process Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Coagulation time (minutes)","23.236666666666668"
"3","Process Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Whey removal pH","6.28"
"4","Process Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Mill pH","5.4"
"5","Process Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Inoc_PO Time","141"
"6","Process Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Inoc_Mill Time","225"
"7","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Moisture%","34.69"
"8","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Protein%","26.86"
"9","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Fat%","33.119999999999997"
"10","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","FDB","0.50711988975654565"
"11","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","MFFS","0.51869019138755978"
"12","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Salt%","2.0699999999999998"
"13","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","S/M","5.9671375036033439E-2"
"14","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Ca","8.0000000000000002E-3"
"15","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Initial Cheese pH","5.25"
"16","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","%NPN/TN","7.7066269545793001E-2"
"17","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","%NCN/TN","0.13626209977661952"
"18","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Total FFA%","3.2000000000000002E-3"
"19","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Glutamic Acid","1.02"
"20","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Leucine","1.06"
"21","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Lysine","0.377"
"22","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Aliphatic/acidc ratio","3.7881548974943051"
"23","Biochemical Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Total FAA (mg/g)","5.1459999999999999"
"24","Sensory Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Hand Firmness","13.43"
"25","Sensory Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Cohesiveness of Mass","12.14"
"26","Sensory Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Adhesiveness","8.89"
"27","Sensory Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Chewiness","6.15"
"28","Sensory Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Particle Size","12.25"
"29","Sensory Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Bitter","1.19"
"30","Sensory Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Acid","1.54"
"31","Sensory Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Salt","5.65"
"32","Sensory Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Sweet","0.04"
"33","Sensory Data","02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","Savory","1.24"
