"response","Grouping","pval_raw","pval_adj","sig"
"%NCN/TN.p.value1","Biochemical Data","1.69359578026118e-14",2.87911282644401e-13,"Yes"
"%NCN/TN.p.value2","Biochemical Data","0.719764932360274",0.89531735488717,"No"
"%NCN/TN.p.value3","Biochemical Data","0.25005081421085",0.45544969731262,"No"
"%NPN/TN.p.value1","Biochemical Data","5.60483771626527e-06",2.38205602941274e-05,"Yes"
"%NPN/TN.p.value2","Biochemical Data","0.624122284881498",0.816159910998882,"No"
"%NPN/TN.p.value3","Biochemical Data","0.457982587540676",0.663045178774568,"No"
"Acid.p.value1","Sensory Data","0.000210751341693819",0.00120128264765477,"Yes"
"Acid.p.value2","Sensory Data","0.368507648778751",0.65640424938715,"No"
"Acid.p.value3","Sensory Data","0.824880776051295",0.906818278463969,"No"
"Adhesiveness.p.value1","Sensory Data","2.25348039836686e-07",3.21120956767278e-06,"Yes"
"Adhesiveness.p.value2","Sensory Data","0.182414264307218",0.394667124786487,"No"
"Adhesiveness.p.value3","Sensory Data","0.774698437385647",0.906818278463969,"No"
"Aliphatic/acidc ratio.p.value1","Biochemical Data","3.11678740612637e-07",1.44505597920404e-06,"Yes"
"Aliphatic/acidc ratio.p.value2","Biochemical Data","0.300979091890697",0.511839309706605,"No"
"Aliphatic/acidc ratio.p.value3","Biochemical Data","0.452642894970793",0.663045178774568,"No"
"Astringent.p.value1","Sensory Data","4.34643834549155e-09",1.2204978141078e-07,"Yes"
"Astringent.p.value2","Sensory Data","0.496205854053144",0.698269237276851,"No"
"Astringent.p.value3","Sensory Data","0.184867803952064",0.394667124786487,"No"
"Bitter.p.value1","Sensory Data","0.00535045886125708",0.0217840110779753,"Yes"
"Bitter.p.value2","Sensory Data","0.0678684717496229",0.214916827207139,"No"
"Bitter.p.value3","Sensory Data","0.493380315748379",0.698269237276851,"No"
"Brothy.p.value1","Sensory Data","0.000157242181812677",0.000995867151480288,"Yes"
"Brothy.p.value2","Sensory Data","0.844490359619236",0.906818278463969,"No"
"Brothy.p.value3","Sensory Data","0.40048416975848",0.671399931653922,"No"
"Butter.p.value1","Sensory Data","0.00367091997503607",0.0162705823174245,"Yes"
"Butter.p.value2","Sensory Data","0.445805034942035",0.698269237276851,"No"
"Butter.p.value3","Sensory Data","0.596295142674955",0.764126570818039,"No"
"Ca.p.value1","Biochemical Data","4.6276178488539e-09",2.62231678101721e-08,"Yes"
"Ca.p.value2","Biochemical Data","0.913533707288699",0.950820797382115,"No"
"Ca.p.value3","Biochemical Data","0.413249020423901",0.658615626300592,"No"
"Chewiness.p.value1","Sensory Data","1.40384677892521e-16",8.0019266398737e-15,"Yes"
"Chewiness.p.value2","Sensory Data","0.323966217849146",0.595679819916172,"No"
"Chewiness.p.value3","Sensory Data","0.536287778050968",0.71089310113733,"No"
"Coagulation pH.p.value1","Process Data","5.76000847195527e-10",2.59200381237987e-09,"Yes"
