"","BS No Mean","DVI No Mean","DVI Yes Mean","BS No SD","DVI No SD","DVI Yes SD","BS No Min","DVI No Min","DVI Yes Min","BS No Max","DVI No Max","DVI Yes Max"
"Initial.Cheese.pH","5.18375","5.12500","5.10250","0.09485892","0.04932883","0.10111874","5.05","5.07","5.02","5.30","5.18","5.25"
"pH.90.days","5.20625","5.22000","5.16250","0.06610327","0.09380832","0.06701990","5.11","5.12","5.10","5.31","5.34","5.23"
"Coagulation.pH","6.54875","6.61250","6.51250","0.09372262","0.04112988","0.08261356","6.40","6.56","6.43","6.67","6.65","6.62"
"Coagulation.time..minutes.","23.36125","31.45750","21.87000","4.834846","6.186823","3.856467","16.73333","22.73333","18.46667","28.07333","37.30000","25.40000"
"Coagulation.Factor","1.663427","1.695551","1.667628","0.009287215","0.052277010","0.007118092","1.649617","1.660415","1.658224","1.673364","1.773297","1.674708"
"Whey.removal.pH","6.25625","6.25000","6.18250","0.04565007","0.09865766","0.07228416","6.18","6.12","6.08","6.32","6.36","6.25"
"Mill.pH","5.4175","5.4125","5.4250","0.03615443","0.06130525","0.03872983","5.37","5.35","5.39","5.48","5.49","5.48"
"Inoc_PO.Time","139.125","136.500","134.250","6.854352","5.972158","6.500000","125","131","125","145","145","140"
"Inoc_Mill.Time","221.875","222.000","217.500","5.938675","9.626353","8.660254","210","208","205","230","230","225"
"Moisture.","0.353475","0.352925","0.355100","0.007002398","0.011943024","0.002393045","0.3427","0.3387","0.3533","0.3622","0.3672","0.3586"
"Protein.","0.2571125","0.2601000","0.2553750","0.007459306","0.005752101","0.005752318","0.2479","0.2548","0.2488","0.2686","0.2676","0.2625"
"Fat.","0.334800","0.331925","0.334250","0.007055697","0.004931109","0.005277310","0.3240","0.3250","0.3296","0.3494","0.3357","0.3418"
"FDB","0.5179359","0.5129980","0.5182957","0.014024859","0.004216422","0.007787022","0.5003861","0.5068804","0.5106910","0.5469631","0.5161439","0.5285295"
"MFFS","0.5314700","0.5282047","0.5334019","0.013708901","0.014464842","0.004614905","0.5154934","0.5094765","0.5289379","0.5551798","0.5440000","0.5379538"
"Salt.","0.0179375","0.0178750","0.0173250","0.0015738374","0.0010404326","0.0004272002","0.0161","0.0168","0.0168","0.0207","0.0193","0.0178"
"S.M","0.05079255","0.05067480","0.04879059","0.004936020","0.003043670","0.001242354","0.04518664","0.04805492","0.04755166","0.05967138","0.05418304","0.05019741"
"Ca","0.00790375","0.00783750","0.00764000","0.0005335846","0.0007427595","0.0005144576","0.00736","0.00715","0.00701","0.00857","0.00870","0.00827"
"X.NPN.TN","0.0009370500","0.0009478385","0.0009840638","1.169768e-04","1.042635e-04","9.112553e-05","0.0007706627","0.0008183857","0.0009104762","0.001081081","0.001036329","0.001109325"
"X.NCN.TN","0.001474521","0.001500117","0.001558570","9.629545e-05","1.110780e-04","1.494563e-04","0.001325060","0.001401099","0.001437476","0.001575829","0.001636771","0.001771429"
"Total.FFA.","0.0069","0.0044","0.0095","0.007099095","0.002803569","0.009810539","0.0024","0.0022","0.0023","0.0238","0.0085","0.0240"
"Glutamic.Acid","0.879625","0.998000","1.127250","0.2352063","0.2474025","0.3482484","0.578","0.664","0.849","1.34","1.25","1.63"
"Leucine","0.881875","1.012500","1.135000","0.2009189","0.1256941","0.2598076","0.629","0.889","0.950","1.27","1.18","1.52"
"Lysine","0.3210","0.3705","0.3910","0.07417354","0.07056675","0.10313422","0.225","0.273","0.310","0.438","0.441","0.539"
"Aliphatic.acidc.ratio","6.451917","5.189465","5.544523","1.9926807","2.4680108","0.7182866","3.788155","3.915691","4.915789","9.514851","8.891156","6.577689"
"Total.FAA..mg.g.","4.094125","4.858675","5.211000","1.1059512","0.9384969","1.5202340","2.801","3.579","4.084","6.1690","5.7907","7.4510"
"Hand.Firmness","12.0725","12.3425","12.2225","1.2853543","0.9796385","0.7638226","10.29","11.27","11.49","13.81","13.51","13.29"
"Cohesiveness.of.Mass","11.87125","11.70500"," 9.75500","0.7299596","0.7245458","5.3560589","10.86","10.92"," 1.75","13.01","12.67","13.01"
"Adhesiveness","9.65375","9.08250","9.76750","0.5162762","1.4736434","0.7000655","8.89","7.66","8.96","10.24","10.90","10.66"
"Chewiness","6.08375","5.88000","5.95750","0.3213782","0.3621234","0.2903303","5.46","5.44","5.56","6.49","6.29","6.23"
"Particle.Size","12.3000","12.5400","12.3225","1.1665823","0.9039912","1.1207847","10.06","11.43","10.96","13.60","13.59","13.48"
"Bitter","1.08125","0.66000","1.22750","0.4024013","0.4377975","0.7818941","0.38","0.36","0.19","1.74","1.31","1.95"
"Acid","1.8375","1.7100","1.8150","0.6022043","0.4558509","0.5799138","1.10","1.26","1.23","2.93","2.20","2.55"
"Salt","5.75375","5.80500","5.70250","0.5521888","0.5471441","0.8269371","4.79","5.07","4.67","6.25","6.30","6.47"
"Sweet","0.0675","0.1575","0.1775","0.06881653","0.18518009","0.25953484","0","0","0","0.17","0.38","0.55"
"Savory","1.400","1.495","1.445","0.2870540","0.3512359","0.3571648","1.12","1.09","1.21","1.92","1.90","1.97"
